,timestamp_str,price,volume
316,Jul 31 2015 01: +0,6.472,235
317,Aug 01 2015 01: +0,6.384,256
318,Aug 02 2015 01: +0,6.307,245
319,Aug 03 2015 01: +0,6.357,254
320,Aug 04 2015 01: +0,6.615,225
321,Aug 05 2015 01: +0,6.461,224
322,Aug 06 2015 01: +0,6.666,220
323,Aug 07 2015 01: +0,6.678,228
324,Aug 08 2015 01: +0,6.592,244
325,Aug 09 2015 01: +0,6.492,216
326,Aug 10 2015 01: +0,6.623,225
327,Aug 11 2015 01: +0,6.554,214
328,Aug 12 2015 01: +0,6.419,220
329,Aug 13 2015 01: +0,6.48,205
330,Aug 14 2015 01: +0,6.56,218
331,Aug 15 2015 01: +0,6.515,233
332,Aug 16 2015 01: +0,6.53,228
333,Aug 17 2015 01: +0,6.464,227
334,Aug 18 2015 01: +0,6.636,233
335,Aug 19 2015 01: +0,6.442,183
336,Aug 20 2015 01: +0,6.387,229
337,Aug 21 2015 01: +0,6.082,273
338,Aug 22 2015 01: +0,6.111,260
339,Aug 23 2015 01: +0,5.952,260
340,Aug 24 2015 01: +0,6.078,216
341,Aug 25 2015 01: +0,6.245,196
342,Aug 26 2015 01: +0,6.422,175
343,Aug 27 2015 01: +0,6.367,185
344,Aug 28 2015 01: +0,6.241,227
345,Aug 29 2015 01: +0,6.348,257
346,Aug 30 2015 01: +0,6.354,228
347,Aug 31 2015 01: +0,6.564,202
348,Sep 01 2015 01: +0,6.599,202
349,Sep 02 2015 01: +0,6.692,205
350,Sep 03 2015 01: +0,6.712,163
351,Sep 04 2015 01: +0,6.764,195
352,Sep 05 2015 01: +0,6.663,268
353,Sep 06 2015 01: +0,6.54,240
354,Sep 07 2015 01: +0,6.525,196
355,Sep 08 2015 01: +0,6.604,171
356,Sep 09 2015 01: +0,6.725,142
357,Sep 10 2015 01: +0,6.62,143
358,Sep 11 2015 01: +0,6.47,182
359,Sep 12 2015 01: +0,6.689,252
360,Sep 13 2015 01: +0,6.745,220
361,Sep 14 2015 01: +0,6.554,162
362,Sep 15 2015 01: +0,6.578,136
363,Sep 16 2015 01: +0,6.611,139
